participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P14,14,2,2,sight_reading,P14_video2_IMG1223.mp3,1.02,75.84,74.82,G,major,0.7680002181322755,0,2.924224138259888,0.4273615181446075,0.3474441123084857,0.0532685257494449,95.703125,0.0651485249400138,0.0506183579564094,686.4020617771162,2.5527933707564823,0.8218231136838063
P14,14,3,3,self_selected,P14_video3_IMG1224.mp3,4.02,192.21,188.19002267573697,D,major,0.9374235643068448,0,3.082438945770264,0.2473025918006897,0.5977120052592041,0.0309004317969083,172.265625,0.0606759116053581,0.0407471545040607,510.4398608690469,3.4964659159097646,0.8905216617436652
P15,15,1,1,sight_reading,P15_video1_IMG1225.mp3,1.39,87.31,85.92,G,minor,0.8458711154853609,1,2.8439383506774902,0.4674209952354431,0.3163367214502911,0.0363964661955833,73.828125,0.0516293831169605,0.0449237078428268,631.9837346566978,1.94366852886406,0.8112253456420382
P15,15,2,2,sight_reading,P15_video2_IMG1226.mp3,1.3,72.96,71.65995464852608,G,major,0.8036434615566312,0,2.990385055541992,0.414425641298294,0.3490475033550005,0.0535241030156612,107.666015625,0.061454102396965,0.0526254437863826,669.6339591104871,2.818868655314657,0.7952023575459787
P15,15,3,3,self_selected,P15_video3_IMG1227.mp3,1.63,67.43,65.8,G,major,0.8729243459244483,0,2.994769811630249,0.3058308959007263,0.4025866196230028,0.0689324140548706,184.5703125,0.0767942667007446,0.0438493192195892,657.1245683417159,5.2431610942249245,0.7650165840507802
P16,16,1,1,sight_reading,P16_video1_IMG1228.mp3,0.02,79.81,79.78997732426303,G,minor,0.8481223853302162,1,2.756411075592041,0.4507028758525848,0.317217092141124,0.0366771779954433,78.30255681818181,0.0580499023199081,0.0458302870392799,623.7849330370007,1.6543431196070866,0.8373008149175859
P16,16,2,2,sight_reading,P16_video2_IMG1229.mp3,1.07,82.36,81.29002267573696,G,major,0.8480739216460759,0,2.9272336959838867,0.4343891143798828,0.3750259758093074,0.0482799410820007,103.359375,0.0636870115995407,0.0531326122581958,670.9268425996769,2.5095330679602443,0.8457899874982536
P16,16,3,3,self_selected,P16_video3_IMG1230.mp3,1.39,207.31,205.92,D,major,0.7582849118251409,0,2.845372200012207,0.3848493695259094,0.3623653453688289,0.0443133264780044,103.359375,0.0756787732243537,0.0477996058762073,575.5887513792541,2.806915306915307,0.8852351333316328
P18,18,3,1,self_selected,P18_video1_IMG1237.mp3,2.04,710.81,708.769977324263,D,minor,0.7067711559831481,1,2.9744410514831543,0.287138968706131,0.337977322261813,0.0462483987212181,172.265625,0.0782680884003639,0.042340662330389,600.7437272141133,2.8570623259816217,0.814852901065695
P18,18,1,2,sight_reading,P18_video2_IMG1238.mp3,0.0,108.72,108.72,G,minor,0.8367056810071622,1,2.7145819664001465,0.4370368719100952,0.3152601203592748,0.0321623347699642,54.978390957446805,0.0499961040914058,0.0394358746707439,619.4053637808347,1.1957321559970566,0.8636809812158633
