participant,participant_id,piece,condition,audio_file,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P13,13,2,sight_reading,P13_video2_IMG1220.mp3,69.26367346938775,G,major,0.7920667443261815,0,2.9370856285095215,0.39992621541023254,0.3396813360205737,0.05223812162876129,117.45383522727273,0.06813869625329971,0.0483127124607563,713.720015071068,2.9308292475957005,0.8350603290236517
P13,13,3,self_selected,P13_video3_IMG1221.mp3,57.97877551020408,G#,minor,0.6777038001059894,1,3.161597728729248,0.23253414034843445,0.4394950946775347,0.04808123782277107,143.5546875,0.07154355943202972,0.045998938381671906,782.7664420151814,4.760362694300518,0.8415754354650731
P14,14,1,sight_reading,P14_video1_IMG1222.mp3,80.89687074829932,G,minor,0.8616938735135201,1,2.7986905574798584,0.4884736239910126,0.33160400868097345,0.0350300669670105,80.74951171875,0.051066603511571884,0.041213031858205795,636.6298069585526,1.7429598783703784,0.8140227952643717
P14,14,2,sight_reading,P14_video2_IMG1223.mp3,78.73741496598639,G,major,0.7887336894009673,0,2.9519083499908447,0.4341795742511749,0.34928651557293716,0.051429834216833115,95.703125,0.06208573281764984,0.05114009603857994,691.8156295479466,2.4765862593309373,0.8211649550314195
P14,14,3,self_selected,P14_video3_IMG1224.mp3,193.6065306122449,D,major,0.9314795048384998,0,3.0945441722869873,0.2540583312511444,0.5841345013106055,0.030504008755087852,172.265625,0.059091780334711075,0.0412464514374733,530.5285473827885,2.2933110706334747,0.8902951137292584
P15,15,1,sight_reading,P15_video1_IMG1225.mp3,92.22820861678005,G,major,0.8539322885651845,0,2.901318311691284,0.46295663714408875,0.33208592927808633,0.034440428018569946,73.828125,0.048407938331365585,0.044969964772462845,639.906287993816,1.799883164702365,0.810956410091025
P15,15,2,sight_reading,P15_video2_IMG1226.mp3,76.9726984126984,G,major,0.8272587986383001,0,3.0218803882598877,0.4170600175857544,0.3592309668066435,0.050791285932064056,107.666015625,0.05753302201628685,0.05279560014605522,669.8444396214167,2.637298733007787,0.7952187898023909
P15,15,3,self_selected,P15_video3_IMG1227.mp3,70.84263038548752,G,major,0.8834456730787841,0,3.0300629138946533,0.31981325149536133,0.40579703552936164,0.06511452049016953,92.28515625,0.07155031710863113,0.04631660506129265,700.3379899096562,4.827601659326027,0.7648139112926671
P16,16,1,sight_reading,P16_video1_IMG1228.mp3,83.59038548752835,G,minor,0.8444282260164622,1,2.786594867706299,0.4623836874961853,0.32013635576795246,0.03576552867889404,78.30255681818181,0.055578988045454025,0.046197470277547836,619.5341092511633,1.5910920762513237,0.8373302035588535
P16,16,2,sight_reading,P16_video2_IMG1229.mp3,85.93560090702948,G,major,0.8631717198616833,0,2.958275079727173,0.44198647141456604,0.3771354741010583,0.04661949351429939,103.359375,0.060461293905973434,0.05341218784451485,681.1829329723657,2.4320537448281683,0.8460959688811404
P16,16,3,self_selected,P16_video3_IMG1230.mp3,212.27537414965985,D,major,0.7502244768413611,0,2.8646116256713867,0.39465469121932983,0.3537357287776043,0.043463993817567825,103.359375,0.07352536171674728,0.04865439608693123,595.6978360210751,2.8076737699202168,0.8851322672269067
P17,17,1,sight_reading,P17_video1_IMG1231.mp3,105.2778231292517,G,major,0.8406413281102418,0,2.886141538619995,0.43987298011779785,0.3374416344679995,0.02951172925531864,58.72691761363637,0.04142022877931595,0.037594784051179886,603.7829545276835,1.2633239940449112,0.8182124962955377
P17,17,2,sight_reading,P17_video2_IMG1232.mp3,87.09659863945578,G,major,0.8463319832050091,0,2.943406343460083,0.4478282034397125,0.3549843391609716,0.048611972481012344,172.265625,0.059786926954984665,0.05318830534815788,688.9974023744917,2.4340789802549363,0.8246392534444428
P17,17,3,self_selected,P17_video3_IMG1233.mp3,254.4195918367347,B,major,0.8226264353744047,0,2.943671226501465,0.31493663787841797,0.5001272331041814,0.036393411457538605,143.5546875,0.0715782567858696,0.04755805805325508,551.3670988509705,2.4329887314543868,0.840017473562265
P18,18,1,sight_reading,P18_video1_IMG1237.mp3,711.6669387755102,D,minor,0.7032848271401312,1,2.9773218631744385,0.2878495156764984,0.3370537868601212,0.04611140489578247,172.265625,0.07795745134353638,0.042535264045000076,603.2251713484571,2.8636991392442237,0.8146930696608033
P18,18,2,sight_reading,P18_video2_IMG1238.mp3,112.05804988662132,G,major,0.8496771862987771,0,2.7342770099639893,0.445896714925766,0.3186919802372833,0.03156474232673645,54.978390957446805,0.04862347990274429,0.03963491693139076,622.8507293209218,1.177960888428414,0.8636821076541104
P18,18,3,self_selected,P18_video3_IMG1239.mp3,85.6801814058957,G,major,0.8408121794387008,0,2.7965822219848633,0.4786427319049835,0.33274697363834205,0.05174637958407402,172.265625,0.06320085376501083,0.04690241813659668,717.2894807360332,2.485989134301055,0.8497374474346442
P19,19,1,sight_reading,P19_video1_IMG1240.mp3,126.26866213151928,G,major,0.8368565996282408,0,2.741504669189453,0.44009238481521606,0.3205437123405351,0.03010246530175209,151.99908088235293,0.04477224871516228,0.038916297256946564,629.430107393785,1.211702075695059,0.869246414001313
P19,19,2,sight_reading,P19_video2_IMG1241.mp3,83.47428571428571,G,major,0.7877358740525696,0,2.771151065826416,0.4438409209251404,0.3391729124614078,0.05120467394590378,172.265625,0.07066141813993454,0.05058131739497185,687.233764029225,2.371987951807229,0.8400338743836214
P19,19,3,self_selected,P19_video3_IMG1242.mp3,167.60018140589568,A#,minor,0.8235980597491525,1,3.0265421867370605,0.26491624116897583,0.2906849830644589,0.03255937248468399,83.35433467741936,0.06461697071790695,0.045910533517599106,557.7431035670047,2.1479690354758545,0.8494574854917244
P1,1,1,sight_reading,P1_video1_IMG1194.mp3,524.026485260771,A#,minor,0.3967630685465185,1,3.010791301727295,0.5190664529800415,0.20148894430955175,0.047130294144153595,123.046875,0.052676837891340256,0.05019295960664749,1075.4986421371405,2.547581157726531,0.8307457982251246
P1,1,2,sight_reading,P1_video2_IMG1194.mp3,524.026485260771,A#,minor,0.3967630685465185,1,3.010791301727295,0.5190664529800415,0.20148894430955175,0.047130294144153595,123.046875,0.052676837891340256,0.05019295960664749,1075.4986421371405,2.547581157726531,0.8307457982251246
P1,1,3,self_selected,P1_video3_IMG1194.mp3,524.026485260771,A#,minor,0.3967630685465185,1,3.010791301727295,0.5190664529800415,0.20148894430955175,0.047130294144153595,123.046875,0.052676837891340256,0.05019295960664749,1075.4986421371405,2.547581157726531,0.8307457982251246
P20,20,1,sight_reading,P20_video1_IMG1246.mp3,82.80090702947845,G,minor,0.8737808247944508,1,2.661907911300659,0.5216123461723328,0.2924552211406715,0.040212761610746384,75.99954044117646,0.05560345575213432,0.044637829065322876,739.8631659995002,1.7632657085268602,0.8274515792781815
P20,20,2,sight_reading,P20_video2_IMG1247.mp3,77.97115646258503,G,minor,0.7791151059958643,1,2.824686288833618,0.4736613929271698,0.33519833241130825,0.05540325865149498,184.5703125,0.06564401090145111,0.052960727363824844,738.4981140797436,2.5650510916299067,0.8202421270136288
