participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P15,15,1,1,sight_reading,P15_video1_IMG1225.mp3,1.39,87.31,85.92,G,minor,0.8458711154853609,1,2.8439383506774902,0.4674209952354431,0.3163367214502911,0.036396466195583344,73.828125,0.051629383116960526,0.04492370784282684,631.9837346566978,1.9436685288640596,0.8112253456420382
P15,15,2,2,sight_reading,P15_video2_IMG1226.mp3,1.3,72.96,71.65995464852608,G,major,0.8036434615566312,0,2.990385055541992,0.41442564129829407,0.34904750335500057,0.05352410301566124,107.666015625,0.06145410239696503,0.052625443786382675,669.6339591104871,2.818868655314657,0.7952023575459787
P15,15,3,3,self_selected,P15_video3_IMG1227.mp3,1.63,67.43,65.8,G,major,0.8729243459244483,0,2.994769811630249,0.3058308959007263,0.40258661962300285,0.0689324140548706,184.5703125,0.07679426670074463,0.04384931921958923,657.1245683417159,5.2431610942249245,0.7650165840507802
P16,16,1,1,sight_reading,P16_video1_IMG1228.mp3,0.02,79.81,79.78997732426303,G,minor,0.8481223853302162,1,2.756411075592041,0.45070287585258484,0.317217092141124,0.036677177995443344,78.30255681818181,0.05804990231990814,0.04583028703927994,623.7849330370007,1.6543431196070866,0.8373008149175859
P16,16,2,2,sight_reading,P16_video2_IMG1229.mp3,1.07,82.36,81.29002267573696,G,major,0.8480739216460759,0,2.9272336959838867,0.4343891143798828,0.3750259758093074,0.04827994108200073,103.359375,0.06368701159954071,0.05313261225819588,670.9268425996769,2.5095330679602443,0.8457899874982536
P16,16,3,3,self_selected,P16_video3_IMG1230.mp3,1.39,207.31,205.92,D,major,0.7582849118251409,0,2.845372200012207,0.3848493695259094,0.3623653453688289,0.044313326478004456,103.359375,0.07567877322435379,0.04779960587620735,575.5887513792541,2.806915306915307,0.8852351333316328
P17,17,1,1,sight_reading,P17_video1_IMG1231.mp3,3.23,104.19,100.96,G,minor,0.8376567224791901,1,2.859360694885254,0.4306394159793854,0.3351941705914358,0.030102845281362534,58.72691761363637,0.04302583634853363,0.037562623620033264,593.7747995091238,1.2975435816164818,0.8190580253695502
P17,17,2,2,sight_reading,P17_video2_IMG1232.mp3,1.81,83.31,81.5,G,major,0.8125689300316619,0,2.9057626724243164,0.43842384219169617,0.35563443736566264,0.05087411776185036,172.265625,0.06366831064224243,0.052808139473199844,688.5799371786629,2.539877300613497,0.8246433658328993
P17,17,3,3,self_selected,P17_video3_IMG1233.mp3,0.3,253.65,253.34997732426305,B,major,0.8231697955626467,0,2.9411234855651855,0.3136562705039978,0.5009336213215301,0.036464277654886246,143.5546875,0.07185402512550354,0.04746801406145096,549.8480205674346,2.407736548637066,0.8398680912911594
P18,18,1,1,sight_reading,P18_video1_IMG1237.mp3,2.04,710.81,708.769977324263,D,minor,0.7067711559831481,1,2.9744410514831543,0.287138968706131,0.337977322261813,0.04624839872121811,172.265625,0.07826808840036392,0.04234066233038902,600.7437272141133,2.8570623259816217,0.814852901065695
